Date,Open,High,Low,Close,Adj Close,Volume
2016-11-30,169.479996,170.669998,168.410004,169.720001,165.582047,827500
2016-12-01,169.179993,171.570007,167.320007,170.759995,166.596680,858700
2016-12-02,170.460007,171.979996,169.880005,170.139999,165.991791,487000
2016-12-05,171.440002,171.960007,169.960007,170.529999,166.372284,740300
2016-12-06,170.179993,173.759995,169.850006,173.309998,169.084518,753400
2016-12-07,172.380005,177.000000,172.380005,176.779999,172.469925,774500
2016-12-08,176.410004,177.830002,175.179993,176.520004,172.216263,796800
2016-12-09,176.050003,177.320007,173.960007,175.580002,171.299179,521500
2016-12-12,174.210007,175.649994,171.759995,173.000000,168.782120,1088800
2016-12-13,173.259995,174.949997,171.149994,171.869995,167.679611,1015200
2016-12-14,173.029999,174.289993,169.889999,171.509995,167.328400,1458000
2016-12-15,171.619995,173.449997,171.009995,172.919998,168.703995,662900
2016-12-16,173.360001,173.990005,171.169998,171.910004,167.718674,891700
2016-12-19,171.610001,175.550003,171.610001,173.820007,169.582062,548400
2016-12-20,173.820007,176.330002,172.220001,175.630005,171.347977,1246000
2016-12-21,174.759995,175.470001,173.309998,173.509995,169.337509,454700
2016-12-22,172.699997,173.410004,169.690002,170.389999,166.292542,946100
2016-12-23,170.690002,172.080002,170.000000,170.889999,166.780518,334200
2016-12-27,170.720001,172.750000,170.720001,171.839996,167.707626,508700
2016-12-28,172.009995,172.929993,170.350006,170.419998,166.321823,360300
2016-12-29,170.080002,171.080002,169.460007,170.279999,166.185165,431400
2016-12-30,171.320007,172.000000,168.600006,169.119995,165.053055,513000
2017-01-03,170.779999,171.360001,169.309998,170.600006,166.497513,691300
2017-01-04,170.369995,173.169998,170.369995,172.000000,167.863800,641700
2017-01-05,170.869995,173.059998,170.229996,171.880005,167.746689,861000
2017-01-06,171.320007,171.990005,169.300003,169.630005,165.550827,828000
2017-01-09,170.059998,170.279999,168.320007,169.529999,165.453171,560100
2017-01-10,168.699997,171.919998,168.630005,169.919998,165.833817,621200
2017-01-11,173.509995,174.990005,170.919998,173.429993,169.259415,889000
2017-01-12,172.419998,174.610001,172.000000,174.470001,170.274399,747400
2017-01-13,174.419998,175.860001,173.520004,174.789993,170.586716,1196200
2017-01-17,174.339996,177.500000,172.940002,173.000000,168.839767,1048900
2017-01-18,173.009995,174.179993,171.759995,173.979996,169.796204,791400
2017-01-19,174.210007,174.820007,171.220001,171.720001,167.590530,606300
2017-01-20,172.240005,172.910004,170.410004,171.500000,167.375824,731300
2017-01-23,167.080002,168.630005,164.270004,167.779999,163.745300,1416800
2017-01-24,168.800003,170.979996,167.779999,168.289993,164.243011,882400
2017-01-25,169.399994,170.309998,167.000000,167.500000,163.472031,969100
2017-01-26,167.750000,169.419998,165.339996,165.500000,161.520142,1301600
2017-01-27,166.149994,166.279999,163.940002,164.369995,160.417313,768500
2017-01-30,165.350006,165.350006,162.889999,164.630005,160.671051,727000
2017-01-31,162.399994,164.679993,162.270004,164.240005,160.290405,1056000
2017-02-01,164.020004,164.889999,159.699997,160.589996,156.728180,1594900
2017-02-02,160.089996,163.050003,160.000000,162.339996,158.436096,1485400
2017-02-03,162.979996,163.699997,161.919998,162.750000,158.836258,850400
2017-02-06,161.729996,163.029999,159.929993,160.270004,156.415863,944700
2017-02-07,161.210007,162.059998,157.779999,159.179993,155.352112,1191300
2017-02-08,158.289993,163.649994,158.259995,162.729996,158.816711,1921800
2017-02-09,162.259995,165.169998,161.309998,164.830002,160.866257,1102000
2017-02-10,165.229996,165.869995,163.190002,164.050003,160.105011,734900
2017-02-13,165.000000,165.000000,162.149994,162.389999,158.484909,986200
2017-02-14,162.389999,164.789993,161.850006,164.369995,160.417313,935300
2017-02-15,163.289993,165.300003,163.009995,163.880005,159.939102,694700
2017-02-16,164.210007,164.460007,160.320007,160.990005,157.118637,1357800
2017-02-17,160.610001,161.880005,159.750000,161.580002,157.694412,1561300
2017-02-21,164.500000,169.550003,160.690002,161.149994,157.274719,3286400
2017-02-22,160.740005,161.990005,155.270004,159.679993,155.840073,3442900
2017-02-23,159.410004,159.660004,156.660004,157.720001,153.927200,1395800
2017-02-24,156.460007,158.229996,155.449997,157.330002,153.546570,1599600
2017-02-27,156.850006,157.389999,155.360001,156.940002,153.165970,1443300
2017-02-28,155.639999,158.690002,155.179993,156.610001,152.843903,1087300
2017-03-01,158.589996,158.589996,155.639999,156.679993,152.912201,1037800
2017-03-02,156.679993,158.089996,156.449997,157.360001,153.575882,1158100
2017-03-03,157.300003,158.139999,154.300003,155.350006,151.614197,1252000
2017-03-06,155.350006,156.100006,154.190002,154.250000,150.540665,1057600
2017-03-07,154.259995,154.800003,151.619995,151.990005,148.335007,1102700
2017-03-08,153.509995,155.740005,152.820007,155.210007,151.477570,1415600
2017-03-09,154.970001,155.479996,154.210007,155.149994,151.418991,1024600
2017-03-10,155.520004,155.809998,153.389999,153.970001,150.267395,1064500
2017-03-13,152.759995,154.960007,151.990005,154.350006,150.638260,978900
2017-03-14,154.300003,154.639999,152.899994,153.710007,150.013641,896600
2017-03-15,153.580002,153.600006,151.149994,152.919998,149.242615,1593700
2017-03-16,152.740005,153.770004,151.830002,153.410004,149.720871,583400
2017-03-17,152.419998,153.250000,150.899994,152.399994,148.735168,1134600
2017-03-20,152.949997,154.229996,151.860001,152.440002,148.774216,1051400
2017-03-21,152.539993,152.830002,150.639999,151.220001,147.583527,1061900
2017-03-22,151.600006,152.059998,150.460007,151.270004,147.690948,661400
2017-03-23,151.300003,152.380005,150.119995,150.779999,147.212509,653100
2017-03-24,150.779999,151.000000,149.350006,149.729996,146.187317,615600
2017-03-27,148.500000,148.770004,146.179993,147.800003,144.303040,769900
2017-03-28,147.190002,148.880005,146.360001,148.360001,144.849762,1118600
2017-03-29,148.610001,150.070007,147.610001,149.669998,146.128784,738800
2017-03-30,149.240005,149.639999,148.350006,148.669998,145.152435,699600
2017-03-31,148.259995,149.399994,147.380005,148.259995,144.752136,981800
2017-04-03,148.399994,149.199997,143.559998,145.500000,142.057419,2029800
2017-04-04,144.929993,145.220001,142.669998,143.039993,139.655655,1072000
2017-04-05,143.759995,144.690002,142.539993,142.740005,139.362762,741500
2017-04-06,143.750000,144.649994,142.360001,142.559998,139.187012,765100
2017-04-07,142.509995,143.539993,141.929993,142.050003,138.689087,928100
2017-04-10,141.880005,143.759995,141.869995,142.839996,139.460373,739400
2017-04-11,142.490005,143.919998,141.490005,143.460007,140.065720,763700
2017-04-12,142.910004,142.910004,141.070007,141.740005,138.386414,596100
2017-04-13,141.919998,142.839996,140.889999,140.889999,137.556503,476100
2017-04-17,141.259995,141.479996,140.149994,140.839996,137.507675,645900
2017-04-18,140.330002,141.600006,140.330002,140.910004,137.576035,646400
2017-04-19,141.529999,144.770004,141.529999,142.419998,139.050339,1230100
2017-04-20,143.559998,146.820007,143.089996,146.559998,143.092361,1278900
2017-04-21,146.470001,147.020004,145.029999,146.839996,143.365738,1021600
2017-04-24,147.880005,148.350006,145.919998,147.100006,143.619598,905200
2017-04-25,147.000000,147.000000,144.199997,145.669998,142.223434,1030400
2017-04-26,146.289993,146.910004,145.399994,145.779999,142.330780,1112900
2017-04-27,145.750000,148.279999,140.960007,143.190002,139.802094,2079700
2017-04-28,142.970001,142.970001,140.119995,142.139999,138.776962,1458400
2017-05-01,143.149994,143.149994,140.360001,140.529999,137.205017,922500
2017-05-02,140.440002,142.669998,139.869995,142.550003,139.177231,806400
2017-05-03,142.490005,143.429993,141.960007,142.820007,139.440857,545300
2017-05-04,142.710007,144.949997,142.710007,144.809998,141.383759,595900
2017-05-05,144.979996,145.020004,143.600006,144.979996,141.549728,617500
2017-05-08,145.169998,147.059998,144.759995,146.970001,143.492661,838200
2017-05-09,146.809998,147.110001,144.789993,146.119995,142.662766,807800
2017-05-10,145.830002,146.259995,145.149994,146.160004,142.701828,383800
2017-05-11,145.490005,146.169998,143.029999,145.949997,142.496750,773000
2017-05-12,145.759995,145.759995,144.389999,145.020004,141.588791,593200
2017-05-15,144.660004,147.149994,144.490005,145.850006,142.399155,1097700
2017-05-16,146.649994,146.649994,142.110001,145.250000,141.813354,2319800
2017-05-17,145.250000,145.250000,142.889999,144.559998,141.139664,1205600
2017-05-18,144.729996,149.160004,144.520004,148.509995,144.996201,1581100
2017-05-19,148.850006,151.720001,147.910004,151.470001,147.886185,1617200
2017-05-22,150.899994,151.350006,147.199997,147.369995,143.883179,1921500
2017-05-23,139.149994,143.830002,139.139999,140.660004,137.331940,3897500
2017-05-24,131.649994,135.899994,131.300003,133.020004,129.872742,5963900
2017-05-25,133.000000,134.070007,129.399994,131.970001,128.847580,3933600
2017-05-26,131.839996,135.699997,131.440002,134.160004,130.985764,2250300
2017-05-30,134.649994,135.210007,132.770004,132.990005,129.843414,1543800
2017-05-31,134.139999,135.399994,131.619995,133.630005,130.468277,2118500
2017-06-01,134.100006,137.100006,133.750000,137.100006,133.856186,1313300
2017-06-02,136.979996,138.229996,136.130005,137.800003,134.539642,1209200
2017-06-05,137.000000,137.000000,134.729996,135.570007,132.362366,1406800
2017-06-06,134.990005,134.990005,129.949997,131.300003,128.193420,2213000
2017-06-07,132.089996,133.940002,130.369995,130.619995,127.529472,996300
2017-06-08,130.619995,131.380005,125.820000,125.919998,122.940720,2226100
2017-06-09,125.940002,128.630005,123.489998,128.360001,125.322983,1679200
2017-06-12,128.110001,130.949997,127.629997,130.949997,127.851654,1466200
2017-06-13,130.949997,131.669998,128.630005,131.630005,128.515610,896100
2017-06-14,131.929993,131.929993,130.130005,130.589996,127.500214,880900
2017-06-15,130.529999,131.809998,129.100006,131.149994,128.046967,1220600
2017-06-16,130.470001,130.919998,127.639999,130.160004,127.080353,1725200
2017-06-19,130.300003,131.070007,128.580002,129.600006,126.533623,1069500
2017-06-20,128.279999,128.350006,123.570000,123.580002,120.656075,2233700
2017-06-21,124.260002,124.260002,118.260002,120.110001,117.325134,2492900
2017-06-22,120.209999,122.519997,119.830002,120.699997,117.901459,2118400
2017-06-23,120.750000,121.430000,118.750000,119.739998,116.963715,2289600
2017-06-26,120.059998,124.620003,120.059998,121.790001,118.966179,1544400
2017-06-27,121.389999,123.300003,121.290001,121.959999,119.132225,1652600
2017-06-28,119.750000,120.599998,116.629997,116.709999,114.003967,2106100
2017-06-29,116.250000,118.250000,115.620003,116.050003,113.359261,2184100
2017-06-30,116.449997,117.820000,116.029999,116.589996,113.886749,994900
2017-07-03,117.449997,118.730003,116.269997,118.410004,115.664558,914800
2017-07-05,110.129997,111.699997,99.129997,105.209999,102.770592,7348700
2017-07-06,104.480003,105.830002,102.250000,103.160004,100.768143,2718300
2017-07-07,102.699997,103.169998,100.930000,101.930000,99.566666,2118500
2017-07-10,101.940002,102.389999,99.500000,101.169998,98.824265,1909300
2017-07-11,101.150002,101.930000,99.370003,100.250000,97.925613,1432900
2017-07-12,101.029999,102.430000,100.500000,100.940002,98.599617,1997100
2017-07-13,100.690002,103.790001,100.690002,103.220001,100.826744,2222300
2017-07-14,103.660004,103.680000,101.629997,102.040001,99.674126,1205400
