Date,Open,High,Low,Close,Adj Close,Volume
2020-11-30,249.059998,250.440002,246.289993,249.089996,246.048706,2441400
2020-12-01,251.509995,253.929993,250.220001,252.270004,249.189880,2078600
2020-12-02,250.710007,251.820007,248.130005,249.660004,246.611755,1671100
2020-12-03,250.000000,251.710007,248.860001,249.929993,246.878464,1552300
2020-12-04,250.220001,253.460007,250.050003,253.440002,250.345596,1852700
2020-12-07,249.850006,251.000000,248.360001,249.300003,246.256134,1973400
2020-12-08,249.000000,250.559998,247.199997,249.860001,246.809311,1825600
2020-12-09,250.119995,250.520004,245.559998,246.770004,243.757050,2201500
2020-12-10,245.869995,247.820007,244.619995,246.160004,243.154495,1874000
2020-12-11,245.889999,246.919998,244.550003,245.830002,242.828506,1838900
2020-12-14,247.100006,249.389999,243.550003,243.750000,240.773911,2412500
2020-12-15,248.910004,248.910004,245.059998,247.050003,244.033630,2415800
2020-12-16,247.020004,248.289993,246.220001,247.449997,244.428726,2248000
2020-12-17,263.779999,271.179993,263.299988,264.470001,261.240936,4855600
2020-12-18,263.890015,266.959991,258.619995,266.250000,262.999207,5948000
2020-12-21,261.119995,263.329987,257.739990,261.420013,258.228180,2680500
2020-12-22,260.859985,261.119995,258.350006,259.470001,256.302002,1602900
2020-12-23,260.829987,261.920013,257.329987,257.440002,254.296753,1455900
2020-12-24,258.000000,259.779999,256.279999,257.299988,254.158463,528100
2020-12-28,259.730011,260.369995,258.390015,259.679993,256.509399,1057100
2020-12-29,260.890015,261.029999,257.230011,257.760010,254.612869,1065200
2020-12-30,258.670013,259.250000,257.190002,257.540009,254.395538,992800
2020-12-31,257.600006,261.320007,257.480011,261.209991,258.020721,1325300
2021-01-04,261.000000,261.660004,254.050003,256.459991,253.328720,2505100
2021-01-05,256.399994,258.640015,255.139999,257.920013,254.770920,1809200
2021-01-06,259.200012,263.589996,256.950012,260.739990,257.556458,2535600
2021-01-07,260.359985,264.920013,260.339996,263.200012,259.986481,2068200
2021-01-08,263.809998,266.529999,261.290009,264.160004,260.934723,2010700
2021-01-11,262.829987,264.709991,260.269989,260.350006,257.171265,1745100
2021-01-12,260.119995,261.220001,256.019989,258.399994,255.245056,1898200
2021-01-13,256.450012,259.089996,256.450012,257.079987,254.808899,1870700
2021-01-14,257.250000,257.250000,254.119995,255.000000,252.747314,2253200
2021-01-15,253.619995,255.970001,253.029999,253.649994,251.409225,1915100
2021-01-19,254.410004,257.299988,253.750000,255.839996,253.579880,2249400
2021-01-20,257.989990,262.380005,257.000000,261.670013,259.358398,2081600
2021-01-21,260.459991,261.809998,256.910004,257.940002,255.661331,1625600
2021-01-22,255.369995,256.369995,253.570007,254.770004,252.519348,2049600
2021-01-25,251.860001,253.789993,249.059998,252.039993,249.813446,1921600
2021-01-26,253.190002,254.410004,251.139999,252.990005,250.755066,1345500
2021-01-27,248.660004,251.220001,244.389999,246.100006,243.925949,1833100
2021-01-28,249.240005,252.800003,248.139999,249.339996,247.137299,1794200
2021-01-29,248.240005,249.229996,241.729996,241.919998,239.782837,2494400
2021-02-01,246.100006,248.899994,243.970001,247.570007,245.382935,1559700
2021-02-02,250.000000,251.429993,248.630005,248.750000,246.552505,2010300
2021-02-03,248.190002,250.110001,246.589996,248.369995,246.175858,2470400
2021-02-04,249.559998,253.029999,246.910004,253.009995,250.774887,1702200
2021-02-05,254.089996,255.750000,252.160004,253.539993,251.300186,1497700
2021-02-08,253.919998,257.350006,253.759995,257.309998,255.036896,1508700
2021-02-09,256.309998,258.809998,255.610001,257.679993,255.403625,1542600
2021-02-10,258.019989,259.190002,255.860001,256.940002,254.670181,1428300
2021-02-11,258.000000,259.989990,257.040009,258.970001,256.682220,1285300
2021-02-12,257.450012,258.589996,255.410004,257.470001,255.195465,1219200
2021-02-16,257.649994,259.489990,256.269989,257.049988,254.779175,1606700
2021-02-17,256.649994,261.609985,255.770004,258.779999,256.493896,1881000
2021-02-18,255.589996,258.100006,254.699997,257.630005,255.354065,1664300
2021-02-19,258.459991,258.500000,254.160004,254.289993,252.043564,2038400
2021-02-22,252.690002,254.169998,250.089996,252.630005,250.398254,1476000
2021-02-23,251.559998,257.929993,250.589996,256.190002,253.926788,2191300
2021-02-24,253.210007,260.470001,252.820007,259.269989,256.979584,2476300
2021-02-25,258.980011,259.109985,252.580002,253.779999,251.538086,2157700
2021-02-26,255.240005,255.850006,249.809998,250.899994,248.683517,2712800
2021-03-01,254.000000,259.799988,254.000000,258.160004,255.879379,1954700
2021-03-02,258.160004,261.119995,257.109985,259.230011,256.939941,2099800
2021-03-03,259.899994,260.000000,254.050003,254.179993,251.934540,2114400
2021-03-04,252.830002,254.639999,245.169998,247.000000,244.817978,2590400
